date,Inflation,Labour,Financial,Monetary,Real,ESI,ESI_expanding,ESI_ML,RECESSION
2008-07-01,100.0,86.25,82.72727272727273,14.583333333333334,91.66666666666666,92.2559424491138,93.09187129174863,13.73873873873874,1.0
2008-08-01,40.0,90.0,76.01809954751131,12.5,92.08333333333333,79.47628646645606,80.53798531751075,13.73873873873874,1.0
2008-09-01,0.0,94.16666666666667,99.09909909909909,8.75,97.08333333333333,85.18918427788313,86.24100180970923,13.73873873873874,1.0
2008-10-01,0.0,95.83333333333334,100.0,0.8333333333333334,99.58333333333333,86.11627765433835,86.79291086981178,13.73873873873874,1.0
2008-11-01,0.0,98.33333333333333,99.55357142857143,8.333333333333332,100.0,87.33958798188033,87.32034255718267,13.73873873873874,1.0
2008-12-01,4.166666666666666,98.75,98.22222222222223,37.916666666666664,100.0,89.9787511099311,88.73485405930536,13.73873873873874,1.0
2009-01-01,12.0,99.16666666666667,91.1504424778761,44.166666666666664,99.58333333333333,88.9007858880907,87.88049730346388,13.73873873873874,1.0
2009-02-01,15.384615384615385,100.0,75.77092511013215,45.0,99.16666666666667,85.34822990943368,84.58202405816357,13.73873873873874,1.0
2009-03-01,14.814814814814813,100.0,71.9298245614035,38.333333333333336,99.16666666666667,83.67366789471504,83.96501106044661,13.73873873873874,1.0
2009-04-01,21.428571428571427,100.0,72.92576419213974,40.0,97.91666666666666,83.92600019193398,84.81857177149556,13.73873873873874,1.0
2009-05-01,24.137931034482758,98.75,44.34782608695652,39.58333333333333,97.5,78.27789359038556,78.84633792346713,13.73873873873874,1.0
2009-06-01,26.666666666666668,97.08333333333333,0.0,38.333333333333336,96.66666666666667,73.48686544661959,71.6803062738575,13.73873873873874,1.0
2009-07-01,22.58064516129032,95.83333333333334,0.0,45.0,95.83333333333334,73.44388779417608,72.05952186061947,13.73873873873874,0.0
2009-08-01,28.125,94.16666666666667,0.4291845493562232,49.166666666666664,92.08333333333333,73.1336949826667,72.69001887163702,13.73873873873874,0.0
2009-09-01,30.303030303030305,92.08333333333333,12.82051282051282,52.083333333333336,87.91666666666667,72.46303636201498,73.35159421731566,13.73873873873874,0.0
2009-10-01,35.294117647058826,90.41666666666667,17.872340425531917,47.5,84.16666666666667,70.718511875603,73.74547530205811,13.73873873873874,0.0
2009-11-01,42.857142857142854,88.75,30.508474576271187,34.583333333333336,71.66666666666667,66.35224349341185,73.43618113209652,13.73873873873874,0.0
2009-12-01,47.22222222222222,83.33333333333334,26.582278481012654,21.666666666666668,26.666666666666668,53.88552855300043,67.13716720524162,13.73873873873874,0.0
2010-01-01,45.94594594594595,79.16666666666666,18.907563025210084,21.25,12.083333333333334,49.26065061370487,64.9687247287531,13.73873873873874,0.0
2010-02-01,42.10526315789473,76.66666666666667,28.870292887029287,34.583333333333336,10.833333333333334,50.71329089241541,59.63608024691184,13.73873873873874,0.0
2010-03-01,38.46153846153847,72.08333333333333,18.333333333333332,36.666666666666664,1.6666666666666667,46.59214252889231,51.731769464371524,13.73873873873874,0.0
2010-04-01,37.5,66.66666666666666,22.083333333333332,38.333333333333336,1.6666666666666667,45.19460594206066,52.90861814206178,13.73873873873874,0.0
2010-05-01,34.146341463414636,60.416666666666664,87.5,45.0,1.25,61.61877756623982,65.90694426602573,13.73873873873874,0.0
2010-06-01,33.33333333333333,55.41666666666667,52.916666666666664,51.24999999999999,4.166666666666666,50.19235464418759,57.22107346823296,13.73873873873874,0.0
2010-07-01,27.906976744186046,54.58333333333333,54.166666666666664,52.5,5.416666666666667,49.82910321274701,57.08506437516989,13.73873873873874,0.0
2010-08-01,27.27272727272727,54.58333333333333,41.25,53.333333333333336,10.416666666666668,46.707359421209816,53.270230999855116,13.73873873873874,0.0
2010-09-01,26.666666666666668,52.083333333333336,32.5,52.5,7.5,43.69464869060194,47.10837699858969,13.73873873873874,0.0
2010-10-01,30.434782608695656,44.583333333333336,39.166666666666664,52.083333333333336,9.583333333333334,43.33938109801098,50.207158819338936,13.73873873873874,0.0
2010-11-01,34.04255319148936,40.416666666666664,38.333333333333336,46.25,10.416666666666668,40.81161104746974,48.732616545024776,13.73873873873874,0.0
2010-12-01,41.66666666666667,29.166666666666668,23.75,35.833333333333336,11.25,34.183383784207905,43.59667202540382,13.73873873873874,0.0
2011-01-01,53.06122448979592,24.583333333333332,13.333333333333334,33.75,16.666666666666664,36.24747354785957,45.39747530137248,13.73873873873874,0.0
2011-02-01,57.99999999999999,17.5,11.25,32.5,17.5,36.768067742376886,48.495470731838125,13.73873873873874,0.0
2011-03-01,64.70588235294117,13.750000000000002,40.0,35.0,24.583333333333332,45.178832912396004,60.998447941913355,13.73873873873874,0.0
2011-04-01,75.0,13.333333333333334,25.833333333333336,33.75,29.166666666666668,47.111201833905156,61.3883751681216,13.73873873873874,0.0
2011-05-01,69.81132075471697,22.083333333333332,32.5,33.75,31.25,47.095431364193075,62.225935239104146,13.73873873873874,0.0
2011-06-01,62.96296296296296,27.083333333333332,44.583333333333336,32.5,32.083333333333336,47.06211740344497,61.18934254878759,13.73873873873874,0.0
2011-07-01,67.27272727272727,22.916666666666664,38.333333333333336,32.083333333333336,49.166666666666664,50.49130368611228,62.176507435619726,13.73873873873874,0.0
2011-08-01,62.5,19.166666666666668,91.66666666666666,41.25,57.49999999999999,67.82919190740091,73.74263503799132,13.73873873873874,0.0
2011-09-01,56.14035087719298,18.333333333333332,73.33333333333333,47.5,57.08333333333333,60.60293741767058,65.12592059813339,13.73873873873874,0.0
2011-10-01,60.3448275862069,17.916666666666668,65.0,46.666666666666664,55.00000000000001,58.31409044460692,62.211531536499756,13.73873873873874,0.0
2011-11-01,64.40677966101694,9.166666666666666,50.0,40.833333333333336,61.25000000000001,56.21904114428532,58.91615724243103,13.73873873873874,0.0
2011-12-01,58.333333333333336,8.333333333333332,44.166666666666664,37.916666666666664,66.66666666666666,54.331018280319824,56.28530912804756,13.73873873873874,0.0
2012-01-01,63.934426229508205,7.5,43.75,42.916666666666664,66.66666666666666,56.78597276519494,57.06127135197607,13.73873873873874,0.0
2012-02-01,69.35483870967742,7.083333333333333,40.833333333333336,42.916666666666664,60.416666666666664,56.07489829618186,59.72914225291522,13.73873873873874,0.0
2012-03-01,82.53968253968253,6.25,27.916666666666668,38.75,66.25,59.529846790427676,60.77165422801758,13.73873873873874,0.0
2012-04-01,67.1875,7.916666666666666,40.833333333333336,44.583333333333336,63.33333333333333,56.55228595463838,59.92663292111787,13.73873873873874,0.0
2012-05-01,52.307692307692314,9.583333333333334,59.583333333333336,53.333333333333336,59.583333333333336,57.44021262793698,62.17159594443158,13.73873873873874,0.0
2012-06-01,48.484848484848484,10.416666666666668,56.25,63.33333333333333,66.66666666666666,60.374498838022284,59.94862075246859,13.73873873873874,0.0
2012-07-01,44.776119402985074,10.416666666666668,47.5,66.25,51.66666666666667,54.41284115433737,54.13944386262814,13.73873873873874,0.0
2012-08-01,50.0,10.0,35.833333333333336,51.66666666666667,43.75,46.736099745400644,51.13053295285311,13.73873873873874,0.0
2012-09-01,69.56521739130434,10.0,24.583333333333332,45.0,46.25,50.45842800827733,60.56091869135427,13.73873873873874,0.0
2012-10-01,81.42857142857143,11.666666666666666,22.916666666666664,43.333333333333336,51.66666666666667,55.74378597340113,63.86706668978273,45.04504504504504,0.0
2012-11-01,57.74647887323944,17.083333333333332,23.75,50.416666666666664,50.83333333333333,49.08337670704799,60.987297453750585,49.0990990990991,0.0
2012-12-01,61.111111111111114,16.25,31.25,49.583333333333336,59.583333333333336,53.232982118260296,63.16439280035331,58.108108108108105,0.0
2013-01-01,65.75342465753424,18.333333333333332,30.416666666666664,43.333333333333336,54.58333333333333,51.89629944534923,66.3732139332006,52.25225225225225,0.0
2013-02-01,83.78378378378379,8.75,35.0,36.666666666666664,50.416666666666664,56.60614120767954,64.2658355590959,43.24324324324324,0.0
2013-03-01,65.33333333333333,8.75,30.0,42.916666666666664,51.66666666666667,50.52280383058718,64.34573664917728,44.5945945945946,0.0
2013-04-01,44.73684210526316,9.166666666666666,40.0,53.75,52.083333333333336,48.98958783750251,59.72919379730857,53.153153153153156,0.0
2013-05-01,38.961038961038966,8.333333333333332,27.916666666666668,49.583333333333336,47.083333333333336,42.79317649347253,52.1928374600896,40.54054054054054,0.0
2013-06-01,35.8974358974359,8.333333333333332,56.25,37.5,41.66666666666667,44.62522505308583,49.32837729389631,41.891891891891895,0.0
2013-07-01,39.24050632911392,7.5,24.583333333333332,24.583333333333332,41.66666666666667,34.386570515046245,42.36481904180467,31.98198198198198,0.0
2013-08-01,38.75,6.25,22.916666666666664,26.25,42.083333333333336,34.37853226283099,41.99170576165318,31.53153153153153,0.0
2013-09-01,34.5679012345679,5.416666666666667,21.25,32.083333333333336,39.58333333333333,33.37857161144567,39.321309630237,31.08108108108108,0.0
2013-10-01,31.70731707317073,7.5,30.0,46.666666666666664,43.75,39.66059420508683,44.008027516813314,40.090090090090094,0.0
2013-11-01,36.144578313253014,6.25,22.916666666666664,41.66666666666667,39.58333333333333,36.71823616613078,41.3120876064951,34.68468468468468,0.0
2013-12-01,32.142857142857146,10.416666666666668,22.5,35.0,35.41666666666667,32.43670822491761,37.470594432323125,32.432432432432435,0.0
2014-01-01,34.11764705882353,5.416666666666667,12.5,34.583333333333336,44.583333333333336,34.496047120991875,42.55631231284197,33.78378378378378,0.0
2014-02-01,29.069767441860467,9.166666666666666,21.25,45.0,47.5,38.46696938321496,46.82440477094141,39.63963963963964,0.0
2014-03-01,39.08045977011494,7.083333333333333,19.583333333333332,45.83333333333333,36.25,37.49133196882245,40.2724316131515,34.234234234234236,0.0
