date,inflation_yoy,unemployment_change,ip_employment_proxy,cli_stress,cli_momentum,real_rate,yield_spread,rate_change,indpro_growth,country,RECESSION
2018-07-01,70.691698621163,-0.5,-0.5799380361507733,-0.7900999999999954,0.14050000000000296,-68.521698621163,-0.7200000000000002,0.95,-0.5799380361507733,USA,0
2018-07-01,,-0.3101950000000002,11.759545524248615,0.31995000000000573,-0.13015000000000043,,-0.617,0.32000000000000006,11.759545524248615,AUS,0
2018-07-01,-11.538461538461553,-0.2999999999999998,-6.48049259437018,0.35030999999999324,0.44200999999999624,12.284651538461553,-0.6277099999999999,0.45309,-6.48049259437018,GBR,0
2018-08-01,149.3919883495197,-0.5999999999999996,-1.2106551576114066,-0.16209999999999525,0.7287000000000035,-149.71098834951968,-1.019,0.010087000000000013,-1.2106551576114066,FRA,0
2018-08-01,,-0.20000000000000018,-2.4893804888520776,0.17327000000000226,0.42897000000000673,,-0.807455,0.766,-2.4893804888520776,CAN,0
2018-08-01,16.898188185774398,-0.2999999999999998,-3.093631694804899,-0.8315000000000055,0.26429999999999154,-17.217188185774397,-0.6098696,0.010087000000000013,-3.093631694804899,DEU,0
2018-08-01,,-0.28609499999999954,13.469404093647274,0.35437000000000296,-0.03511000000000308,,-0.6299999999999999,0.26,13.469404093647274,AUS,0
2018-08-01,-11.111111111111116,-0.20000000000000018,-5.536688194239736,0.6293699999999944,0.6294699999999978,11.916301111111116,-0.59391,0.524,-5.536688194239736,GBR,0
2018-08-01,39.20661133155989,-0.6000000000000005,-2.4614592435401317,-0.6890999999999963,0.22469999999999857,-37.01661133155989,-0.7000000000000002,0.94,-2.4614592435401317,USA,0
2018-08-01,85.71428571428574,-0.2999999999999998,0.03661458030116416,-0.38769999999999527,0.03470000000000084,-85.62328571428574,-0.019000000000000003,0.034999999999999996,0.03661458030116416,JPN,0
2018-09-01,1.9708333855807947,-0.5999999999999996,0.5855236057807356,-0.5481999999999942,0.3178000000000054,0.26916661441920553,-0.7599999999999998,0.9900000000000002,0.5855236057807356,USA,0
2018-09-01,,-0.40000000000000036,-3.6317578489640345,0.3981500000000011,0.5450500000000034,,-0.8361839999999998,0.5375000000000001,-3.6317578489640345,CAN,0
2018-09-01,-21.42857142857142,-0.10000000000000053,-2.70545361574539,0.9791500000000042,0.8373200000000054,22.22950142857142,-0.7013699999999999,0.49182000000000003,-2.70545361574539,GBR,0
2018-09-01,123.05176712930503,-0.40000000000000036,1.6204593447303295,0.12924999999999898,0.8252499999999969,-123.37061712930503,-1.08885,0.010530999999999957,1.6204593447303295,FRA,0
2018-09-01,15.699680602292808,-0.2999999999999998,3.285830335276485,-0.7228000000000065,0.2768999999999977,-16.01853060229281,-0.68935,0.010530999999999957,3.285830335276485,DEU,0
2018-09-01,,-0.4434289999999992,17.697666726515425,0.42794000000000665,0.09212000000000842,,-0.7009999999999998,0.20999999999999996,17.697666726515425,AUS,0
2018-09-01,71.42857142857144,-0.5,1.8411914579660738,-0.37350000000000705,0.039599999999992974,-71.37857142857145,-0.075,-0.005999999999999998,1.8411914579660738,JPN,0
