date,ESI,RECESSION,stress_level,Inflation,Labour,Financial,Monetary,Real,ESI_expanding,ESI_ML
1987-12-01,13.54685498345651,0.0,Low,,14.166666666666666,,14.193548387096774,0.0,18.30872157706681,
1988-01-01,23.206380994826965,0.0,Low,,24.793388429752067,,23.717948717948715,0.641025641025641,27.65769303953188,
1988-02-01,26.20075664265679,0.0,Low,,29.508196721311474,,24.840764331210192,3.1847133757961785,30.18962806354432,
1988-03-01,23.711612987272733,0.0,Low,,26.82926829268293,,22.15189873417721,4.430379746835443,27.720340924972305,
1988-04-01,19.08781305397157,0.0,Low,,19.35483870967742,,20.12578616352201,5.031446540880504,25.210846480041408,
1988-05-01,23.088283109261905,0.0,Low,,24.0,,23.75,6.25,28.512650084217817,
1988-06-01,34.74251175438239,0.0,Moderate,,23.015873015873016,,44.72049689440994,10.559006211180124,37.70238740483965,
1988-07-01,41.319510932870486,0.0,Moderate,,32.28346456692913,,50.617283950617285,12.34567901234568,43.29337697957939,
1988-08-01,45.93543213220481,0.0,Moderate,,35.9375,,56.44171779141104,12.269938650306749,49.833778724817606,
1988-09-01,45.212609784935054,0.0,Moderate,,34.10852713178294,,56.09756097560976,13.414634146341465,49.305493888712135,
1988-10-01,45.16229436994021,0.0,Moderate,,30.76923076923077,,57.57575757575758,14.545454545454543,48.967202937876166,
1988-11-01,44.47798001501874,0.0,Moderate,,21.37404580152672,,59.63855421686747,17.46987951807229,53.78475469272599,
1988-12-01,52.42323293151179,0.0,Moderate,,23.484848484848484,,71.25748502994011,19.16167664670659,58.79250272923453,
1989-01-01,55.82809640239394,0.0,Moderate,,24.81203007518797,,77.97619047619048,12.5,59.80989815104334,
1989-02-01,60.08191874685561,0.0,High,,33.582089552238806,,81.65680473372781,10.650887573964498,62.07272570952426,
1989-03-01,62.01930866350946,0.0,High,,38.51851851851852,,82.94117647058825,8.235294117647058,63.16229630606351,
1989-04-01,60.51407748616694,0.0,High,,46.32352941176471,,76.0233918128655,8.187134502923977,63.69789740689109,
1989-05-01,55.992810854993394,0.0,Moderate,,50.36496350364964,,65.11627906976744,8.13953488372093,61.4028833619162,
1989-06-01,55.296172444220325,0.0,Moderate,,57.971014492753625,,56.64739884393064,12.13872832369942,58.56364925055802,
1989-07-01,52.313605386812085,0.0,Moderate,,61.87050359712231,,43.67816091954023,19.54022988505747,53.29574403317695,
1989-08-01,56.74734419130232,0.0,Moderate,,62.85714285714285,,53.142857142857146,23.42857142857143,58.55832513856286,
1989-09-01,59.32110022141394,0.0,Moderate,,64.53900709219859,,56.81818181818182,26.13636363636364,63.38646047523476,
1989-10-01,59.61941933859421,0.0,Moderate,,65.49295774647888,,55.36723163841808,33.33333333333333,63.06192461506304,
